,programevent_id,name_de,eventbegin,channel,market,turnover
0,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,goal-scorer-halftime,4529.206319702602
1,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,team-points-more-less,1313.7272727272727
2,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,standard,1313.7272727272727
3,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,handicap,1313.7272727272727
4,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,points-more-less-than,4529.206319702602
5,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,goal-scorer-rest,1319.0
6,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,goal-scorer-min-2,2724.646153846154
7,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,goal-scorer-rest,1319.0
8,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,points-more-less-rest-halftime,1313.7272727272727
9,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,next-point,4529.206319702602
10,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,custom-place-yes-no,4529.206319702602
11,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,player-yellow-card,4529.206319702602
12,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,handicap,4529.206319702602
13,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,team-points-more-less,4529.206319702602
14,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,goal-scorer,56696.444444444445
15,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,team-scores,1628.0
16,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,score-both-halftime,1313.7272727272727
17,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,next-point-halftime,4529.206319702602
18,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,score-both,4529.206319702602
19,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,next-point-halftime,1313.7272727272727
20,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,first-scorer,4529.206319702602
21,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,score-both-halftime,4529.206319702602
22,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,corner-kicks-more-less-than,4529.206319702602
23,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,goal-scorer-team-wins,4529.206319702602
24,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,team-number-of-points,4529.206319702602
25,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,section-points-more-less,4529.206319702602
26,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,correct-score-live,2365.0
27,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,point-bet,4529.206319702602
28,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,point-bet,1313.7272727272727
29,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,team-scores,1628.0
30,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,standard-rest,4529.206319702602
31,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,goal-scorer,56696.444444444445
32,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,totals-team-wins,1158.0
33,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,points-more-less-rest,1313.7272727272727
34,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,standard,4529.206319702602
35,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,halftime-fulltime,1566.333333333333
36,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,points-more-less-than,1313.7272727272727
37,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,standard-rest,1313.7272727272727
38,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,double-chance,4529.206319702602
39,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,section-points-more-less,1313.7272727272727
40,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,score-both,1313.7272727272727
41,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,points-more-less-rest,4529.206319702602
42,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,next-point,1313.7272727272727
43,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,double-chance,1313.7272727272727
44,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,goal-scorer-team-wins,1313.7272727272727
45,190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,totals-team-wins,1158.0
