programevent_id,name_de,eventbegin,channel,market,turnover
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,goal-scorer-halftime,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,team-points-more-less,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,standard,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,handicap,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,points-more-less-than,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,goal-scorer-rest,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,goal-scorer-min-2,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,goal-scorer-rest,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,points-more-less-rest-halftime,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,next-point,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,custom-place-yes-no,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,player-yellow-card,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,handicap,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,team-points-more-less,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,goal-scorer,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,team-scores,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,score-both-halftime,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,next-point-halftime,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,score-both,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,next-point-halftime,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,first-scorer,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,score-both-halftime,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,corner-kicks-more-less-than,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,goal-scorer-team-wins,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,team-number-of-points,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,section-points-more-less,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,correct-score-live,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,point-bet,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Retail,point-bet,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,team-scores,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,standard-rest,
190001810,Bayern München - Bayer Leverkusen,2017-08-18 20:38:08,Online,goal-scorer,
